Date : 2024-11-08 15:11:51
Directory : d:\carepulse
Total : 73 files,  13005 codes, 349 comments, 712 blanks, all 14066 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          4 |      9,032 |          0 |          3 |      9,035 |
| TypeScript JSX     |         34 |      2,721 |        264 |        452 |      3,437 |
| TypeScript         |         14 |        670 |         47 |        111 |        828 |
| CSS                |          1 |        257 |         18 |         75 |        350 |
| XML                |         16 |        173 |          0 |         13 |        186 |
| Markdown           |          1 |         99 |          0 |         45 |        144 |
| JavaScript         |          2 |         27 |         20 |         12 |         59 |
| JSON with Comments |          1 |         26 |          0 |          1 |         27 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                   |         73 |     13,005 |        349 |        712 |     14,066 |
| . (Files)                                                           |         13 |      9,293 |         41 |         84 |      9,418 |
| app                                                                 |         10 |        648 |         33 |        174 |        855 |
| app (Files)                                                         |          4 |        345 |         23 |         97 |        465 |
| app\admin                                                           |          1 |         72 |          8 |         11 |         91 |
| app\api                                                             |          1 |          6 |          1 |          3 |         10 |
| app\api\sentry-example-api                                          |          1 |          6 |          1 |          3 |         10 |
| app\patients                                                        |          3 |        151 |          1 |         57 |        209 |
| app\patients\[userId]                                               |          3 |        151 |          1 |         57 |        209 |
| app\patients\[userId]\new-appointment                               |          2 |        115 |          0 |         42 |        157 |
| app\patients\[userId]\new-appointment (Files)                       |          1 |         42 |          0 |         17 |         59 |
| app\patients\[userId]\new-appointment\success                       |          1 |         73 |          0 |         25 |         98 |
| app\patients\[userId]\register                                      |          1 |         36 |          1 |         15 |         52 |
| app\sentry-example-page                                             |          1 |         74 |          0 |          6 |         80 |
| components                                                          |         26 |      2,336 |        250 |        356 |      2,942 |
| components (Files)                                                  |          7 |        442 |         13 |         76 |        531 |
| components\forms                                                    |          3 |        619 |         15 |         92 |        726 |
| components\table                                                    |          2 |        203 |        222 |         43 |        468 |
| components\ui                                                       |         14 |      1,072 |          0 |        145 |      1,217 |
| constants                                                           |          1 |         82 |          4 |          4 |         90 |
| lib                                                                 |          5 |        390 |         11 |         72 |        473 |
| lib (Files)                                                         |          3 |        192 |         10 |         26 |        228 |
| lib\actions                                                         |          2 |        198 |          1 |         46 |        245 |
| public                                                              |         16 |        173 |          0 |         13 |        186 |
| public (Files)                                                      |          2 |          2 |          0 |          0 |          2 |
| public\assets                                                       |         14 |        171 |          0 |         13 |        184 |
| public\assets\icons                                                 |         14 |        171 |          0 |         13 |        184 |
| types                                                               |          2 |         83 |         10 |          9 |        102 |
+---------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                            | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\carepulse\.eslintrc.json                                         | JSON               |          3 |          0 |          1 |          4 |
| d:\carepulse\README.md                                              | Markdown           |         99 |          0 |         45 |        144 |
| d:\carepulse\app\admin\page.tsx                                     | TypeScript JSX     |         72 |          8 |         11 |         91 |
| d:\carepulse\app\api\sentry-example-api\route.ts                    | TypeScript         |          6 |          1 |          3 |         10 |
| d:\carepulse\app\global-error.tsx                                   | TypeScript JSX     |         16 |          4 |          3 |         23 |
| d:\carepulse\app\globals.css                                        | CSS                |        257 |         18 |         75 |        350 |
| d:\carepulse\app\layout.tsx                                         | TypeScript JSX     |         34 |          0 |          4 |         38 |
| d:\carepulse\app\page.tsx                                           | TypeScript JSX     |         38 |          1 |         15 |         54 |
| d:\carepulse\app\patients\[userId]\new-appointment\page.tsx         | TypeScript JSX     |         42 |          0 |         17 |         59 |
| d:\carepulse\app\patients\[userId]\new-appointment\success\page.tsx | TypeScript JSX     |         73 |          0 |         25 |         98 |
